date,flux
2008-01-01,94.8
2008-01-02,88.83624999999999
2008-01-03,88.52564393939394
2008-01-04,90.09
2008-01-05,90.74
2008-01-06,89.84
2008-01-07,89.12
2008-01-08,93.68
2008-01-09,92.7
2008-01-10,92.61
2008-01-11,84.13
2008-01-12,88.25099747474748
2008-01-13,92.02
2008-01-14,92.22
2008-01-15,90.88
2008-01-16,89.21
2008-01-17,88.49
2008-01-18,88.48
2008-01-19,88.05
2008-01-20,87.69
2008-01-21,86.08
2008-01-22,85.81
2008-01-23,87.08
2008-01-24,86.62
2008-01-25,86.74
2008-01-26,86.93
2008-01-27,88.34
2008-01-28,88.11
2008-01-29,88.02
2008-01-30,88.44
2008-01-31,89.31
2008-02-01,88.4
2008-02-02,87.98
2008-02-03,87.46
2008-02-04,86.59
2008-02-05,84.97
2008-02-06,84.875
2008-02-07,85.31
2008-02-08,84.84
2008-02-09,85.19
2008-02-10,85.49
2008-02-11,86.46
2008-02-12,85.385
2008-02-13,84.475
2008-02-14,84.17
2008-02-15,84.01
2008-02-16,83.85
2008-02-17,84.515
2008-02-18,86.74
2008-02-19,85.29
2008-02-20,84.865
2008-02-21,84.93
2008-02-22,85.68
2008-02-23,85.96
2008-02-24,84.45
2008-02-25,84.2
2008-02-26,84.63875934193122
2008-02-27,84.055
2008-02-28,82.47
2008-02-29,85.43915533096337
2008-03-01,86.07272458647944
2008-03-02,86.57660332958744
2008-03-03,87.2220467184139
2008-03-04,84.960560515873
2008-03-05,85.935
2008-03-06,86.96
2008-03-07,87.98
2008-03-08,87.85
2008-03-09,87.68
2008-03-10,88.96
2008-03-11,88.78
2008-03-12,88.18
2008-03-13,88.01
2008-03-14,88.15
2008-03-15,87.99
2008-03-16,88.215
2008-03-17,83.3
2008-03-18,83.85
2008-03-19,84.93
2008-03-20,83.45
2008-03-21,83.33
2008-03-22,82.87
2008-03-23,83.8
2008-03-24,88.67
2008-03-25,82.92506321861961
2008-03-26,82.22964760559661
2008-03-27,81.49066240999103
2008-03-28,80.8038401168242
2008-03-29,80.18590411877128
2008-03-30,80.0811500204106
2008-03-31,79.85182461090915
2008-04-01,91.225
2008-04-02,89.17
2008-04-03,90.99
2008-04-04,88.455
2008-04-05,88.54
2008-04-06,87.94
2008-04-07,84.91
2008-04-08,87.29
2008-04-09,84.16
2008-04-10,85.81
2008-04-11,86.23
2008-04-12,84.72
2008-04-13,85.61711893160103
2008-04-14,80.06823008844344
2008-04-15,79.05
2008-04-16,85.58682436232701
2008-04-17,80.47115189317203
